Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
x_F4_cVb4go,elsaaa - Pull me closer,"Apr 29, 2025",138,3,0.0421,0,13,15.38
ECxS7JUQ48w,Beautiful Beats - i'm so alone,"Feb 16, 2022",159,3,0.0034,0,4,25
HnblOipM8ak,Mike Perry - Believe,"Oct 21, 2023",162,3,0.0905,0,18,11.11
 -yLrijS7jJg,Richie Krisak - Butterfly (Lyrics) ft. Next To Neon,"May 5, 2020",179,3,0.0101,0,52,7.69
FAOOf74ULd4,NLSN - Wake up with you (Lyrics),"May 25, 2025",146,3,0.3042,0,39,7.69
ls65Z5yNSWs,ELLIANA - Thinking,"Sep 15, 2020",162,3,0.0514,0,25,0
5i7uhFg6e3A,Claudia Valentina - If I'm Being Honest (Lyrics),"Oct 30, 2020",183,3,0.0325,0,17,5.88
m25WRMXAeRc,Gabrielle Aplin - Skylight,"Dec 24, 2021",241,3,0.0687,0,51,3.92
m8cRBynWGGc,Tones And I - Dance Monkey (Lyrics),"Jun 13, 2020",237,3,0.1024,0,134,2.24
m4ldonnV8Xw,Chris Linton & Cadmium - Slow Down (Lyrics),"Aug 15, 2020",218,3,0.0061,0,15,6.67
LOO88LDuKQk,Afro vibes!!,"Aug 11, 2025",30,3,0.0011,0,38,0
O6KuprI0Glg,Annika Bennett - Your World (Lyrics),"Nov 29, 2020",207,3,0.0738,0,35,5.71
JlaCJWev6S4,Sam Feldt - Stronger (Lyrics) feat. Kesha [Frank Walker Remix],"Mar 25, 2021",171,3,0.2591,0,23,4.35
D0YzlSHlqH4,Teddy Beats & Britt Lari - All of Me (Lyrics),"Sep 11, 2020",223,3,0.0676,0,6,16.67
zYY-E0SbYYs,Misha Miller - Red Blue,"Dec 1, 2021",155,3,0.0489,0,22,4.55
XMDMDa2c5qY,Aditya Rikhari & Ankita Chhetri - Sahiba,"Jul 10, 2025",184,2,0.0563,0,6,0
 -ytrsqCAXFg,Next Promises X Settow X Aden Lou - Brune,"Aug 11, 2025",191,2,0.0256,0,21,4.76
bXrGrxIvwKI,Becky Hill - Space (Lyrics),"Oct 2, 2020",206,2,0.0042,0,4,0
iS9oN9Sp6cY,KIDDO - Just A Girl,"Jan 14, 2022",232,2,0.0034,0,26,7.69
vORPOZO6XEk,Loote - Pushing Daisies (Lyrics),"Oct 22, 2020",199,2,0.0091,0,38,0
e_p9paism_Y,Antdot & Bantu - Too Late,"Aug 11, 2025",213,2,0.0248,0,28,7.14
YZYwXttXjaM,George Alice - Teenager (Lyrics),"Nov 27, 2020",186,2,0.016,0,15,6.67
D9HGQ8ZoADU,Lauren Weintraub - Like A Boy,"Dec 30, 2021",165,2,0.0028,0,20,10
QtCWuv4n-0M,Crunkz - Need You,"Jun 22, 2025",138,2,0.0404,0,2,0
N-SNwbXb5GI,John Linhart & Bodybangers - Lies,"Dec 22, 2021",161,2,0.0903,0,37,2.7
GrQIN3mbOH4,Astrid S & Dagny - Pretty,"Dec 10, 2021",176,2,0.0571,0,29,6.9
EBvCzCjv3-c,NOTD & Catello - Nobody (Lyrics),"Oct 30, 2020",147,2,0.01,0,41,7.32
lJaZ9dUBjJg,Ocean Ave - Bedtime Stories (Lyrics),"Jun 23, 2020",164,2,0.047,0,3,33.33
1c89XyjcppU,Fly By Midnight - Caffeine (Lyrics) ft. Shoffy,"Sep 25, 2020",188,2,0.0053,0,7,14.29
Ot26aOlYn8g,Olivia Holt - love on you. (Lyrics),"Apr 6, 2021",155,2,0.0038,0,15,6.67
3jfpI0XLb44,BRITT LARI & R3LIC - Our World (Lyrics),"Aug 12, 2020",193,2,0.007,0,7,14.29
 -E-G8P20_98,Marvin Acosta - Finally Free feat. Alley Parton (Lyric Video),"Sep 30, 2022",220,2,0.0076,0,17,5.88
cBi_j-cLzps,Whiite Lotus & Hinsley - Sunshine Sugar (Lyrics Video),"Aug 22, 2022",151,2,0.0048,0,5,0
GyGpAM8wKUo,Alan Walker & VIZE - Space Melody (Lyric Video) ft. Edward Artemyev & Leony,"Dec 11, 2020",182,2,0.0099,0,29,6.9
8IKez2WD4Pk,Brune!!,"Aug 11, 2025",58,2,0.0043,0,25,4
89c_CP94q0Y,Georgia Webster - I Hate Phone Calls (Long Distance Sucks) (Lyrics),"Sep 23, 2022",192,2,0.0022,0,13,15.38
7341RVm29dw,Kiki Rowe - Anchor  (Lyrics),"Sep 6, 2020",166,2,0.0903,0,13,0
L2vZoAb33Ak,Addict. - Hold Me Closer (Lyrics) feat. yaeow,"Jul 4, 2020",183,2,0.0508,0,7,0
3gamiCM4hKc,Doppe & Kokke - Hanging by a Thread feat. Fasone,"Dec 8, 2021",194,2,0.0027,0,16,6.25
Sc7hs5Dr6XE,NLSN - Moving On feat. CLOSR,"Feb 19, 2022",132,2,0.055,0,32,6.25
7af0-JgQxD4,Olivia O'Brien - Sociopath (Lyrics),"Apr 14, 2021",154,2,0.0129,0,46,2.17
_SWHCB-wkdM,Georgia Webster - John Mayer Songs,"Sep 23, 2022",184,2,0.1794,0,6,0
WwdmTdXa9Y8,Mauve - Like a Dream,"Dec 10, 2021",152,2,0.0047,0,59,3.39
Q6AafRGpRo8,Cheat Codes - How Do You Love (with Lee Brice & Lindsay Ell),"Nov 4, 2021",211,2,0.0944,0,7,0
KI021fZXLOQ,Lipless X TMPST X Jordan Grace feat. Maynørr - Incomplete,"Aug 16, 2025",213,2,0.0029,0,51,3.92
Rga1FZ7Tu1s,Emma Horan - Over You (Lyrics),"Aug 19, 2020",191,2,0.0665,0,10,0
f2VnWFJyyLw,Rewind & Sølace - Pieces (Lyrics),"Jul 14, 2020",196,2,0.0587,0,5,20
5TJOozCbCQs,Mike Posner & Jessie J - Weaponry (Lyrics),"Dec 18, 2020",193,2,0.0597,0,3,0
AK8oHnwLgKw,Tones and I - Fly Away (Lyrics),"Nov 13, 2020",180,2,0.037,0,7,0
